pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7uov	H	L	0	A	protein	NA	glycoprotein g2	VIRAL PROTEIN/IMMUNE SYSTEM	11/02/22	Native Lassa glycoprotein in complex with neutralizing antibodies 12.1F and 37.2D	Homo sapiens; Lassa virus	homo sapiens	homo sapiens	lassa virus	Li, H., Saphire, E.O.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7uov	S	T	0	c	protein	NA	unknown	VIRAL PROTEIN/IMMUNE SYSTEM	11/02/22	Native Lassa glycoprotein in complex with neutralizing antibodies 12.1F and 37.2D	Homo sapiens; Lassa virus	homo sapiens	homo sapiens	lassa virus	Li, H., Saphire, E.O.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7uov	D	E	0	B	protein	NA	glycoprotein g2	VIRAL PROTEIN/IMMUNE SYSTEM	11/02/22	Native Lassa glycoprotein in complex with neutralizing antibodies 12.1F and 37.2D	Homo sapiens; Lassa virus	homo sapiens	homo sapiens	lassa virus	Li, H., Saphire, E.O.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7uov	O	P	0	a	protein	NA	unknown	VIRAL PROTEIN/IMMUNE SYSTEM	11/02/22	Native Lassa glycoprotein in complex with neutralizing antibodies 12.1F and 37.2D	Homo sapiens; Lassa virus	homo sapiens	homo sapiens	lassa virus	Li, H., Saphire, E.O.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7uov	F	G	0	C	protein	NA	glycoprotein g2	VIRAL PROTEIN/IMMUNE SYSTEM	11/02/22	Native Lassa glycoprotein in complex with neutralizing antibodies 12.1F and 37.2D	Homo sapiens; Lassa virus	homo sapiens	homo sapiens	lassa virus	Li, H., Saphire, E.O.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7uov	Q	R	0	b	protein	NA	unknown	VIRAL PROTEIN/IMMUNE SYSTEM	11/02/22	Native Lassa glycoprotein in complex with neutralizing antibodies 12.1F and 37.2D	Homo sapiens; Lassa virus	homo sapiens	homo sapiens	lassa virus	Li, H., Saphire, E.O.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7z12	B	C	0	A	protein	NA	var2csa	CELL ADHESION	11/02/22	VAR2 complex with PAM1.4	Homo sapiens; Plasmodium falciparum	homo sapiens	homo sapiens	plasmodium falciparum	Raghavan, S.S.R., Wang, K.T.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8dwc	E	E	0	B | C	protein | protein	NA | NA	gs-mini-gq chimera | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	11/02/22	CryoEM structure of Gq-coupled MRGPRX1 with peptide agonist BAM8-22	Bos taurus; Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Liu, Y., Cao, C., Fay, J.F., Roth, B.L.	0	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8dwg	E	E	0	B | C	protein | protein	NA | NA	gs-mini-gq chimera | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	11/02/22	CryoEM structure of Gq-coupled MRGPRX1 with peptide ligand BAM8-22 and positive allosteric modulator ML382	Bos taurus; Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Liu, Y., Cao, C., Fay, J.F., Roth, B.L.	0	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8dua	H	L	0	B | G	protein | protein	NA | NA	envelope glycoprotein gp41 | envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	SIV E660.CR54 SOS-2P Env Trimer with ITS92.02	Macaca mulatta; Simian immunodeficiency virus	macaca mulatta	macaca mulatta	simian immunodeficiency virus | simian immunodeficiency virus	Gorman, J., Kwong, P.D.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8dua	D	E	0	A | C	protein | protein	NA | NA	envelope glycoprotein gp41 | envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	SIV E660.CR54 SOS-2P Env Trimer with ITS92.02	Macaca mulatta; Simian immunodeficiency virus	macaca mulatta	macaca mulatta	simian immunodeficiency virus | simian immunodeficiency virus	Gorman, J., Kwong, P.D.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8dua	J	K	0	F | I	protein | protein	NA | NA	envelope glycoprotein gp41 | envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	SIV E660.CR54 SOS-2P Env Trimer with ITS92.02	Macaca mulatta; Simian immunodeficiency virus	macaca mulatta	macaca mulatta	simian immunodeficiency virus | simian immunodeficiency virus	Gorman, J., Kwong, P.D.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
7u8g	D	E	0	A	protein	NA	egfp, cytochrome b-245 heavy chain chimera	OXIDOREDUCTASE	10/26/22	Cryo-EM structure of the core human NADPH oxidase NOX2	Homo sapiens; Oryctolagus cuniculus	oryctolagus cuniculus	oryctolagus cuniculus	homo sapiens	Noreng, S., Ota, N., Sun, Y., Masureel, M., Payandeh, J., Yi, T., Koerber, J.T.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7ugn	G	J	0	A	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with germline CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1 - Class 1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7ugn	H	K	0	B	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with germline CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1 - Class 1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7ugn	I	L	0	C	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with germline CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1 - Class 1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7ugn	M	P	0	A	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with germline CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1 - Class 1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	unknown	unknown	None	None	None	None	None
7ugn	N	Q	0	B	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with germline CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1 - Class 1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	unknown	unknown	None	None	None	None	None
7ugn	O	R	0	C	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with germline CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1 - Class 1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	unknown	unknown	None	None	None	None	None
7ugo	M	P	0	A	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with mature CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	4.1	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	unknown	unknown	None	None	None	None	None
7ugo	N	Q	0	B	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with mature CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	4.1	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	unknown	unknown	None	None	None	None	None
7ugo	O	R	0	C	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with mature CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	4.1	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	unknown	unknown	None	None	None	None	None
7ugo	G	J	0	A	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with mature CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	4.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7ugo	H	K	0	B	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with mature CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	4.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7ugo	I	L	0	C	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	Cryo-EM structure of BG24 inferred germline Fabs with mature CDR3s and 10-1074 Fabs in complex with HIV-1 Env immunogen BG505-SOSIPv4.1-GT1	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Dam, K.A., Bjorkman, P.J.	4.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7wb5	H	L	0	R	protein	NA	surface glycoprotein	VIRAL PROTEIN	10/26/22	local structure of hu33 and spike	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pulan, L.	3.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV7	IGKV1	Kappa	None	None	None	None	None
7wbh	U	V	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/26/22	overall structure of hu33 and spike	Homo sapiens; Severe acute respiratory syndrome-related coronavirus	homo sapiens	homo sapiens	severe acute respiratory syndrome-relatedcoronavirus 	Pulan, L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV7	IGKV1	Kappa	None	None	None	None	None
7wbh	O	Q	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/26/22	overall structure of hu33 and spike	Homo sapiens; Severe acute respiratory syndrome-related coronavirus	homo sapiens	homo sapiens	severe acute respiratory syndrome-relatedcoronavirus 	Pulan, L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV7	IGKV1	Kappa	None	None	None	None	None
7wbh	P	S	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/26/22	overall structure of hu33 and spike	Homo sapiens; Severe acute respiratory syndrome-related coronavirus	homo sapiens	homo sapiens	severe acute respiratory syndrome-relatedcoronavirus 	Pulan, L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV7	IGKV1	Kappa	None	None	None	None	None
7wy5	N	NA	0	A | B	protein | protein	NA | NA	engineered mini g alpha q subunit | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	10/26/22	ADGRL3/Gq complex	Homo sapiens; Mus musculus	homo sapiens		homo sapiens | homo sapiens	He, Y., Qian, Y.	2.83	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7wy8	D	NA	0	A | B	protein | protein	NA | NA	engineered mini g alpha s subunit | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	10/26/22	ADGRL3/Gs complex	Homo sapiens; Lama glama; Mus musculus	lama glama		homo sapiens | homo sapiens	He, Y., Qian, Y.	2.83	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7wyb	E	E	0	B | C	protein | protein	NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	10/26/22	ADGRL3/Gi complex	Homo sapiens; Mus musculus	homo sapiens		homo sapiens | homo sapiens	He, Y., Qian, Y.	2.97	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
7wz4	S	S	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	10/26/22	Structure of an orphan GPCR-G protein signaling complex	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Xu, J., Chen, G., Liu, Z., Du, Y.	3.0	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8ady	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/26/22	Cryo-EM structure of full-length human immunoglobulin M - F(ab')2 conformation 1	Homo sapiens	homo sapiens	homo sapiens		Chen, Q., Rosenthal, P., Tolar, P.	5.2	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
8ady	Q	S	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/26/22	Cryo-EM structure of full-length human immunoglobulin M - F(ab')2 conformation 1	Homo sapiens	homo sapiens	homo sapiens		Chen, Q., Rosenthal, P., Tolar, P.	5.2	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
8adz	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/26/22	Cryo-EM structure of full-length human immunoglobulin M - F(ab')2 conformation 2	Homo sapiens	homo sapiens	homo sapiens		Chen, Q., Rosenthal, P., Tolar, P.	6.7	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
8adz	U	V	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/26/22	Cryo-EM structure of full-length human immunoglobulin M - F(ab')2 conformation 2	Homo sapiens	homo sapiens	homo sapiens		Chen, Q., Rosenthal, P., Tolar, P.	6.7	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
8ae0	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/26/22	Cryo-EM structure of full-length human immunoglobulin M - F(ab')2 conformation 3	Homo sapiens	homo sapiens	homo sapiens		Chen, Q., Rosenthal, P., Tolar, P.	7.1	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
8ae0	Q	S	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/26/22	Cryo-EM structure of full-length human immunoglobulin M - F(ab')2 conformation 3	Homo sapiens	homo sapiens	homo sapiens		Chen, Q., Rosenthal, P., Tolar, P.	7.1	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
8ae2	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/26/22	Cryo-EM structure of full-length human immunoglobulin M - F(ab')2 conformation 5	Homo sapiens	homo sapiens	homo sapiens		Chen, Q., Rosenthal, P., Tolar, P.	8.5	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
8ae2	Q	S	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/26/22	Cryo-EM structure of full-length human immunoglobulin M - F(ab')2 conformation 5	Homo sapiens	homo sapiens	homo sapiens		Chen, Q., Rosenthal, P., Tolar, P.	8.5	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
8ae3	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/26/22	Cryo-EM structure of full-length human immunoglobulin M - F(ab')2 conformation 4	Homo sapiens	homo sapiens	homo sapiens		Chen, Q., Rosenthal, P., Tolar, P.	6.8	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
8ae3	Q	S	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/26/22	Cryo-EM structure of full-length human immunoglobulin M - F(ab')2 conformation 4	Homo sapiens	homo sapiens	homo sapiens		Chen, Q., Rosenthal, P., Tolar, P.	6.8	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
8erq	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	SARS-CoV-2 BA.1 spike ectodomain trimer in complex with the S2X324 neutralizing antibody Fab fragment (local refinement of the RBD and S2X324)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Park, Y.J., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV2	IGLV2	Lambda	None	None	None	None	None
8err	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	SARS-CoV-2 Omicron BA.1 spike ectodomain trimer in complex with the S2X324 neutralizing antibody Fab fragment	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Park, Y.J., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV2	IGLV2	Lambda	None	None	None	None	None
8err	E	F	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	SARS-CoV-2 Omicron BA.1 spike ectodomain trimer in complex with the S2X324 neutralizing antibody Fab fragment	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Park, Y.J., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV2	IGLV2	Lambda	None	None	None	None	None
8err	I	J	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	10/26/22	SARS-CoV-2 Omicron BA.1 spike ectodomain trimer in complex with the S2X324 neutralizing antibody Fab fragment	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Park, Y.J., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV2	IGLV2	Lambda	None	None	None	None	None
7t4g	H	L	0	A	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/19/22	The Envelope Glycoprotein SIVmac239.K180S SOSIP trimer in complex with 3 copies of the neutralizing antibody K11	Macaca mulatta; Simian immunodeficiency virus	macaca mulatta	macaca mulatta	simian immunodeficiency virus	Berndsen, Z.T.	3.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
7t4g	G	I	0	C	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/19/22	The Envelope Glycoprotein SIVmac239.K180S SOSIP trimer in complex with 3 copies of the neutralizing antibody K11	Macaca mulatta; Simian immunodeficiency virus	macaca mulatta	macaca mulatta	simian immunodeficiency virus	Berndsen, Z.T.	3.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
7t4g	J	K	0	E	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/19/22	The Envelope Glycoprotein SIVmac239.K180S SOSIP trimer in complex with 3 copies of the neutralizing antibody K11	Macaca mulatta; Simian immunodeficiency virus	macaca mulatta	macaca mulatta	simian immunodeficiency virus	Berndsen, Z.T.	3.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
7yr1	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/19/22	SARS-CoV-2 BA.2.75 S Trimer in complex with XG2v024	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7yr1	D	F	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/19/22	SARS-CoV-2 BA.2.75 S Trimer in complex with XG2v024	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7yr1	E	G	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/19/22	SARS-CoV-2 BA.2.75 S Trimer in complex with XG2v024	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7t2p	H	L	0	A | B	protein | protein	NA | NA	envelope glycoprotein gp120 | envelope glycoprotein gp41	VIRAL PROTEIN/IMMUNE SYSTEM	10/19/22	The Envelope Glycoprotein SIVmac239.K180S SOSIP trimer in complex with 3 copies of the neutralizing antibody K11	Macaca mulatta; Simian immunodeficiency virus	macaca mulatta	macaca mulatta	simian immunodeficiency virus | simian immunodeficiency virus	Berndsen, Z.T.	3.47	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
7y24	S	S	0	A | G | B	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(o) subunit alpha | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	STRUCTURAL PROTEIN	10/19/22	Cryo-EM structure of the octreotide-bound SSTR2-miniGo-scFv16 complex	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens		homo sapiens | homo sapiens | homo sapiens	Chen, S., Zheng, S.	0	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
7y26	D	D	0	B | A	protein | protein	NA | NA	engineered guanine nucleotide-binding protein g(q) subunitalpha  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	STRUCTURAL PROTEIN	10/19/22	Cryo-EM structure of the octreotide-bound SSTR2-miniGq-scFv16 complex	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens		homo sapiens | homo sapiens	Chen, S., Zheng, S.	0	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
7y27	D	D	0	B | A	protein | protein	NA | NA	engineered guanine nucleotide-binding protein g(q) subunitalpha  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	STRUCTURAL PROTEIN	10/19/22	Cryo-EM structure of the SST-14-bound SSTR2-miniGq-scFv16 complex	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens		homo sapiens | homo sapiens	Chen, S., Zheng, S.	0	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
7yqx	H	F	0	B	protein	NA	spike glycoprotein	STRUCTURAL PROTEIN	10/19/22	SARS-CoV-2 BA.2.75 S Trimer in complex with S309 (state1)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, L.	3.72	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7yqx	I	G	0	A	protein	NA	spike glycoprotein	STRUCTURAL PROTEIN	10/19/22	SARS-CoV-2 BA.2.75 S Trimer in complex with S309 (state1)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, L.	3.72	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7yqy	H	F	0	B	protein	NA	spike glycoprotein	STRUCTURAL PROTEIN	10/19/22	SARS-CoV-2 BA.2.75 S Trimer in complex with S309 (state2)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, L.	3.74	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7yqy	I	G	0	A	protein	NA	spike glycoprotein	STRUCTURAL PROTEIN	10/19/22	SARS-CoV-2 BA.2.75 S Trimer in complex with S309 (state2)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, L.	3.74	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
