pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7ph3	D	NA	0	A	protein	NA	atp-dependent lipid a-core flippase	MEMBRANE PROTEIN	08/24/22	AMP-PNP bound nanodisc reconstituted MsbA with nanobodies, spin-labeled at position A60C	Escherichia coli K-12; Vicugna pacos	vicugna pacos		escherichia coli k-12	Parey, K., Januliene, D., Galazzo, L., Meier, G., Vecchis, D., Striednig, B., Hilbi, H., Schaefer, L.V., Kuprov, I., Bordignon, E., Seeger, M.A., Moeller, A.	2.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7xz6	N	NA	0	A | G | B	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	08/24/22	GPR119-Gs-APD668 complex	Escherichia coli; Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens | homo sapiens	Xu, P., Huang, S., Jiang, Y., Xu, H.E.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7yp7	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	08/24/22	apo-ADGRG2 coupled to Gs	Homo sapiens; Lama glama; Mus musculus	lama glama		homo sapiens | homo sapiens	Liu, Z.M., Bu, R.Q., Xue, C.Y., Guo, S.C., Yuan, D.P., Xiao, P., Sun, J.P.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7yzk	C	NA	0	B	protein	NA	adenylate cyclase	MEMBRANE PROTEIN	08/31/22	Structure of Mycobacterium tuberculosis adenylyl cyclase Rv1625c / Cya	Mycobacterium tuberculosis; Vicugna pacos	vicugna pacos		mycobacterium tuberculosis	Mehta, V., Khanppnavar, B., Korkhov, V.M.	3.57	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7yzk	D	NA	0	A	protein	NA	adenylate cyclase	MEMBRANE PROTEIN	08/31/22	Structure of Mycobacterium tuberculosis adenylyl cyclase Rv1625c / Cya	Mycobacterium tuberculosis; Vicugna pacos	vicugna pacos		mycobacterium tuberculosis	Mehta, V., Khanppnavar, B., Korkhov, V.M.	3.57	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8di5	H	NA	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	08/24/22	Cryo-EM structure of SARS-CoV-2 Beta (B.1.351) spike protein in complex with VH domain F6 (focused refinement of RBD and VH F6)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Zhu, X., Saville, J.W., Mannar, D., Berezuk, A.M., Subramaniam, S.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8dly	H	NA	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	08/31/22	Cryo-EM structure of SARS-CoV-2 Epsilon (B.1.429) spike protein in complex with VH ab6 (focused refinement of NTD and VH ab6)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Zhu, X., Mannar, D., Saville, J.W., Srivastava, S.S., Berezuk, A.M., Zhou, S., Tuttle, K.S., Subramaniam, S.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8dm0	H	NA	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	08/31/22	Cryo-EM structure of SARS-CoV-2 D614G spike protein in complex with VH ab6 (focused refinement of NTD and VH ab6)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Zhu, X., Mannar, D., Saville, J.W., Srivastava, S.S., Berezuk, A.M., Zhou, S., Tuttle, K.S., Subramaniam, S.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7xkd	N	NA	0	A | G | B	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	08/10/22	Cryo-EM structure of DHEA-ADGRG2-BT-Gs complex	Camelus bactrianus; Homo sapiens	camelus bactrianus		homo sapiens | homo sapiens | homo sapiens	Guo, S.C., Xiao, P., Lin, H., Sun, J.P., Yu, X.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7xke	N	NA	0	A | B	protein | protein	NA | NA	mini-gs | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	08/10/22	Cryo-EM structure of DHEA-ADGRG2-FL-Gs complex	Camelus bactrianus; Homo sapiens; Mus musculus	camelus bactrianus		homo sapiens | homo sapiens	Guo, S.C., Xiao, P., Lin, H., Sun, J.P., Yu, X.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7xkf	N	NA	0	A | G | B	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	08/10/22	Cryo-EM structure of DHEA-ADGRG2-BT-Gs complex at lower state	Camelus bactrianus; Homo sapiens; Mus musculus	camelus bactrianus		homo sapiens | homo sapiens | homo sapiens	Guo, S.C., Xiao, P., Lin, H., Sun, J.P., Yu, X.	2.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7t9i	N	NA	0	X | Y	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	08/03/22	Native human TSH bound to human Thyrotropin receptor in complex with miniGs399 (composite structure)	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Faust, B., Cheng, Y., Manglik, A.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7utz	N	NA	0	Y | Z | X	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2  | guanine nucleotide-binding protein g(s) subunit alphaisoforms short 	MEMBRANE PROTEIN	08/03/22	Human thyrotropin analog TR1402 bound to human Thyrotropin receptor in complex with miniGs399 (composite structure)	Homo sapiens	homo sapiens		homo sapiens | homo sapiens | homo sapiens	Faust, B., Cheng, Y., Manglik, A.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7vvj	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	08/03/22	PTHrP-bound human PTH1R in complex with Gs	Bos taurus; Homo sapiens; Rattus norvegicus; unidentified; SYNTHETIC CONSTRUCT	unidentified		homo sapiens | rattus norvegicus	Kobayashi, K., Kusakizako, T., Miyauchi, H., Tomita, A., Kobayashi, K., Shihoya, W., Yamashita, K., Nishizawa, T., Kato, H.E., Nureki, O.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7vvk	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	08/03/22	PTH-bound human PTH1R in complex with Gs (class1)	Bos taurus; Homo sapiens; Rattus norvegicus; unidentified; SYNTHETIC CONSTRUCT	unidentified		homo sapiens | rattus norvegicus	Kobayashi, K., Kusakizako, T., Miyauchi, H., Tomita, A., Kobayashi, K., Shihoya, W., Yamashita, K., Nishizawa, T., Kato, H.E., Nureki, O.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7vvl	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	08/03/22	PTH-bound human PTH1R in complex with Gs (class2)	Bos taurus; Homo sapiens; Rattus norvegicus; unidentified; SYNTHETIC CONSTRUCT	unidentified		homo sapiens | rattus norvegicus	Kobayashi, K., Kusakizako, T., Miyauchi, H., Tomita, A., Kobayashi, K., Shihoya, W., Yamashita, K., Nishizawa, T., Kato, H.E., Nureki, O.	2.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7vvm	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	08/03/22	PTH-bound human PTH1R in complex with Gs (class3)	Bos taurus; Homo sapiens; Rattus norvegicus; unidentified; SYNTHETIC CONSTRUCT	unidentified		homo sapiens | rattus norvegicus	Kobayashi, K., Kusakizako, T., Miyauchi, H., Tomita, A., Kobayashi, K., Shihoya, W., Yamashita, K., Nishizawa, T., Kato, H.E., Nureki, O.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7vvn	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	08/03/22	PTH-bound human PTH1R in complex with Gs (class4)	Bos taurus; Homo sapiens; Rattus norvegicus; unidentified; SYNTHETIC CONSTRUCT	unidentified		homo sapiens | rattus norvegicus	Kobayashi, K., Kusakizako, T., Miyauchi, H., Tomita, A., Kobayashi, K., Shihoya, W., Yamashita, K., Nishizawa, T., Kato, H.E., Nureki, O.	3.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7vvo	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	08/03/22	PTH-bound human PTH1R in complex with Gs (class5)	Bos taurus; Homo sapiens; Rattus norvegicus; unidentified; SYNTHETIC CONSTRUCT	unidentified		homo sapiens | rattus norvegicus	Kobayashi, K., Kusakizako, T., Miyauchi, H., Tomita, A., Kobayashi, K., Shihoya, W., Yamashita, K., Nishizawa, T., Kato, H.E., Nureki, O.	4.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8dfl	E	NA	0	A	protein	NA	potassium voltage-gated channel subfamily a member 3,greenfluorescent protein fusion 	IMMUNE SYSTEM	07/13/22	Structure of human Kv1.3 with A0194009G09 nanobodies (alternate conformation)	Aequorea victoria; Homo sapiens; Lama glama	lama glama		homo sapiens, aequorea victoria	Meyerson, J.R., Selvakumar, P.	3.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8dfl	F	NA	0	B	protein	NA	potassium voltage-gated channel subfamily a member 3,greenfluorescent protein fusion 	IMMUNE SYSTEM	07/13/22	Structure of human Kv1.3 with A0194009G09 nanobodies (alternate conformation)	Aequorea victoria; Homo sapiens; Lama glama	lama glama		homo sapiens, aequorea victoria	Meyerson, J.R., Selvakumar, P.	3.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8dfl	G	NA	0	C	protein	NA	potassium voltage-gated channel subfamily a member 3,greenfluorescent protein fusion 	IMMUNE SYSTEM	07/13/22	Structure of human Kv1.3 with A0194009G09 nanobodies (alternate conformation)	Aequorea victoria; Homo sapiens; Lama glama	lama glama		homo sapiens, aequorea victoria	Meyerson, J.R., Selvakumar, P.	3.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8dfl	H	NA	0	D	protein	NA	potassium voltage-gated channel subfamily a member 3,greenfluorescent protein fusion 	IMMUNE SYSTEM	07/13/22	Structure of human Kv1.3 with A0194009G09 nanobodies (alternate conformation)	Aequorea victoria; Homo sapiens; Lama glama	lama glama		homo sapiens, aequorea victoria	Meyerson, J.R., Selvakumar, P.	3.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7xt8	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/27/22	Serotonin 4 (5-HT4) receptor-Gs-Nb35 complex	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Huang, S., Xu, P., Shen, D.D., Simon, I.A., Mao, C., Tan, Y., Zhang, H., Harpsoe, K., Li, H., Zhang, Y., You, C., Yu, X., Jiang, Y., Zhang, Y., Gloriam, D.E., Xu, H.E.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7xtb	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/27/22	Serotonin 6 (5-HT6) receptor-Gs-Nb35 complex	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Huang, S., Xu, P., Shen, D.D., Simon, I.A., Mao, C., Tan, Y., Zhang, H., Harpsoe, K., Li, H., Zhang, Y., You, C., Yu, X., Jiang, Y., Zhang, Y., Gloriam, D.E., Xu, H.E.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7xtc	N	NA	0	A | B | G	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2 	MEMBRANE PROTEIN	07/27/22	Serotonin 7 (5-HT7) receptor-Gs-Nb35 complex	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens | homo sapiens	Huang, S., Xu, P., Shen, D.D., Simon, I.A., Mao, C., Tan, Y., Zhang, H., Harpsoe, K., Li, H., Zhang, Y., You, C., Yu, X., Jiang, Y., Zhang, Y., Gloriam, D.E., Xu, H.E.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7qe5	B	NA	0	A	protein	NA	sialic acid trap transporter permease protein siat	TRANSPORT PROTEIN	07/27/22	Structure of the membrane domains of the sialic acid TRAP transporter HiSiaQM from Haemophilus influenzae	Haemophilus influenzae; Vicugna pacos	vicugna pacos		haemophilus influenzae	Peter, M.F., Hagelueken, G.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8dcr	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	07/27/22	Cryo-EM structure of dobutamine-bound beta1-adrenergic receptor in complex with heterotrimeric Gs-protein	Bos taurus; Lama glama; Meleagris gallopavo	lama glama		bos taurus | bos taurus	Su, M., Paknejad, N., Hite, R.K., Huang, X.Y.	2.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8dcs	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	07/27/22	Cryo-EM structure of cyanopindolol-bound beta1-adrenergic receptor in complex with heterotrimeric Gs-protein	Bos taurus; Lama glama; Meleagris gallopavo	lama glama		bos taurus | bos taurus	Su, M., Paknejad, N., Hite, R.K., Huang, X.Y.	2.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7vq0	D	NA	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/20/22	Cryo-EM structure of the SARS-CoV-2 spike protein (2-up RBD) bound to neutralizing nanobodies P86	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Maeda, R., Fujita, J., Konishi, Y., Kazuma, Y., Yamazaki, H., Anzai, I., Yamaguchi, K., Kasai, K., Nagata, K., Yamaoka, Y., Miyakawa, K., Ryo, A., Shirakawa, K., Makino, F., Matsuura, Y., Inoue, T., Imura, A., Namba, K., Takaori-Kondo, A.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7vq0	E	NA	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/20/22	Cryo-EM structure of the SARS-CoV-2 spike protein (2-up RBD) bound to neutralizing nanobodies P86	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Maeda, R., Fujita, J., Konishi, Y., Kazuma, Y., Yamazaki, H., Anzai, I., Yamaguchi, K., Kasai, K., Nagata, K., Yamaoka, Y., Miyakawa, K., Ryo, A., Shirakawa, K., Makino, F., Matsuura, Y., Inoue, T., Imura, A., Namba, K., Takaori-Kondo, A.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7vq0	F	NA	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/20/22	Cryo-EM structure of the SARS-CoV-2 spike protein (2-up RBD) bound to neutralizing nanobodies P86	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Maeda, R., Fujita, J., Konishi, Y., Kazuma, Y., Yamazaki, H., Anzai, I., Yamaguchi, K., Kasai, K., Nagata, K., Yamaoka, Y., Miyakawa, K., Ryo, A., Shirakawa, K., Makino, F., Matsuura, Y., Inoue, T., Imura, A., Namba, K., Takaori-Kondo, A.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7xou	N	NA	0	A | B	protein | protein	NA | NA	isoform gnas-2 of guanine nucleotide-binding protein g(s)subunit alpha isoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	NEUROPEPTIDE	07/20/22	Structural insights into human brain gut peptide cholecystokinin receptors	Homo sapiens; SYNTHETIC CONSTRUCT	synthetic construct		homo sapiens | homo sapiens	Ding, Y., Zhang, H., Liao, Y., Chen, L., Ji, S.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7xov	N	NA	0	A | B	protein | protein	NA | NA	isoform gnas-2 of guanine nucleotide-binding protein g(s)subunit alpha isoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	NEUROPEPTIDE	07/20/22	Structural insights into human brain gut peptide cholecystokinin receptors	Homo sapiens; SYNTHETIC CONSTRUCT	synthetic construct		homo sapiens | homo sapiens	Ding, Y., Zhang, H., Liao, Y., Chen, L., Ji, S.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7z6v	X	NA	0	A	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11 nanobody complex	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H., Vogirala, V.K.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z6v	Y	NA	0	B	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11 nanobody complex	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H., Vogirala, V.K.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z6v	Z	NA	0	C	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11 nanobody complex	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H., Vogirala, V.K.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z7x	F	NA	0	C	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H6 nanobody complex	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z7x	D	NA	0	A	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H6 nanobody complex	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z7x	E	NA	0	B	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H6 nanobody complex	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z85	F	NA	0	C	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-B5 nanobody complex	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z85	D	NA	0	A	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-B5 nanobody complex	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z85	E	NA	0	B	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-B5 nanobody complex	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z86	X	NA	0	A	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H4 Q98R H100E nanobody complex in 1Up2Down conformation	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z86	Y	NA	0	B	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H4 Q98R H100E nanobody complex in 1Up2Down conformation	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z86	Z	NA	0	C	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H4 Q98R H100E nanobody complex in 1Up2Down conformation	Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2, escherichia virus t4 	Weckener, M., Naismith, J.H.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z9q	D	NA	0	C	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-A10 nanobody complex	Lama glama; Severe acute respiratory syndrome coronavirus 2; Tequatrovirus T4	lama glama		severe acute respiratory syndrome coronavirus2, tequatrovirus t4 	Weckener, M., Naismith, J.H.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z9q	E	NA	0	A	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-A10 nanobody complex	Lama glama; Severe acute respiratory syndrome coronavirus 2; Tequatrovirus T4	lama glama		severe acute respiratory syndrome coronavirus2, tequatrovirus t4 	Weckener, M., Naismith, J.H.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7z9q	F	NA	0	B	protein	NA	spike glycoprotein,fibritin	ANTIVIRAL PROTEIN	07/13/22	CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-A10 nanobody complex	Lama glama; Severe acute respiratory syndrome coronavirus 2; Tequatrovirus T4	lama glama		severe acute respiratory syndrome coronavirus2, tequatrovirus t4 	Weckener, M., Naismith, J.H.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
